CRN,Cap,Act,Rem,Status
36406,40,--,0,CLOSED
36457,40,--,0,CLOSED
37174,40,--,0,CLOSED
37596,40,--,0,CLOSED
31417,40,--,0,CLOSED
31656,40,--,0,CLOSED
33265,40,--,0,CLOSED
33272,40,--,0,CLOSED
33733,40,--,0,CLOSED
35192,40,--,0,CLOSED
38635,40,--,0,CLOSED
36174,36,--,0,Waitlisted
31657,40,--,0,CLOSED
33123,40,--,0,CLOSED
33269,40,--,0,CLOSED
35193,40,--,0,CLOSED
35861,40,--,0,CLOSED
38636,40,--,0,CLOSED
38814,40,--,0,CLOSED
38876,40,--,0,CLOSED
38813,30,--,0,CLOSED
31241,40,--,0,CLOSED
34932,40,--,0,CLOSED
38272,40,--,0,CLOSED
30703,40,--,0,CLOSED
35658,40,--,0,CLOSED
37597,40,--,0,CLOSED
31256,40,--,0,CLOSED
30716,40,--,0,CLOSED
35771,40,--,0,CLOSED
30430,40,--,0,CLOSED
31207,40,--,0,CLOSED
31610,40,--,0,CLOSED
32973,40,--,0,CLOSED
36196,40,--,0,CLOSED
38730,40,--,0,CLOSED
30266,80,--,0,CLOSED
33056,40,--,0,CLOSED
34529,40,--,0,CLOSED
36177,40,--,0,CLOSED
38707,80,--,0,CLOSED
38731,40,--,0,CLOSED
31580,40,--,0,CLOSED
32585,40,--,0,CLOSED
35114,40,--,0,CLOSED
36178,40,--,0,CLOSED
37633,40,--,0,CLOSED
37689,40,--,0,CLOSED
38679,40,--,0,CLOSED
33979,40,--,0,CLOSED
35693,80,--,0,CLOSED
35195,40,--,0,CLOSED
35661,40,--,0,CLOSED
35662,40,--,0,CLOSED
35697,40,--,0,CLOSED
37180,40,--,0,CLOSED
38674,30,23,7,Restricted: Dual Enrollment
38672,30,--,0,CLOSED
38673,35,26,9,Restricted: Dual Enrollment
38576,35,--,0,CLOSED
33781,40,--,0,CLOSED
38388,40,--,0,CLOSED
35150,40,--,0,CLOSED
36729,40,--,0,CLOSED
31296,40,--,0,CLOSED
31611,40,--,0,CLOSED
31671,40,--,0,CLOSED
36179,40,--,0,CLOSED
36825,40,--,0,CLOSED
38675,30,13,17,Restricted: Dual Enrollment
36732,40,--,0,CLOSED
36731,40,--,0,CLOSED
38041,40,--,0,CLOSED
32171,25,--,0,CLOSED
36190,25,--,0,CLOSED
36191,25,--,0,CLOSED
36740,25,--,0,CLOSED
36187,25,--,0,CLOSED
36738,25,--,0,CLOSED
38826,25,--,0,CLOSED
36429,25,--,0,CLOSED
38039,25,--,0,CLOSED
38002,25,--,0,CLOSED
38895,25,21,4,OPEN
38820,1,--,0,CLOSED
36193,40,--,0,CLOSED
37791,40,--,0,CLOSED
38392,40,--,0,CLOSED
30393,40,--,0,CLOSED
31740,40,--,0,CLOSED
32365,40,--,0,CLOSED
38394,40,--,0,CLOSED
38053,40,--,0,CLOSED
37632,40,--,0,CLOSED
36407,40,--,0,CLOSED
36182,40,--,0,CLOSED
31206,40,--,0,CLOSED
36735,40,--,0,CLOSED
36737,40,--,0,CLOSED
35843,40,--,0,CLOSED
33059,40,--,0,CLOSED
